Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tunisia,"20,121759737","19,0199633535","17,7863406988","18,5454975534","19,0467038247","21,0430009149","21,2105263158","20,9346087502","22,135262847","21,995764955","24,1034952338","25,3489461358","26,0575002171","35,3663263988","31,0439875962","29,0843248836","29,5816414982","30,9634043238","38,9801505818","40,2372546251","41,371936569","36,9099159104","34,3642490429","32,962697274","32,1032158785","30,1826713591","34,8263288241","42,0178740503","44,3456136143","43,5570513235","40,365622506","39,5350873353","40,4453392621","44,9322743427","44,9043502739","42,1093762293","39,1140807378","38,519786527","37,9790415861","39,5465695434","42,8168233248","40,7848345957","39,4834522083","42,2212495333","44,9322920398","46,0286169494","51,0681854181","55,6294804002","45,049329735","48,7573157135","50,9615166726"
Turkey,"5,0740016376","5,574685313","4,1481081299","4,4501090251","4,5406160207","4,0817652854","4,1118708029","3,6806350425","3,5827626667","4,4422391532","5,3385566482","6,0048422608","7,0324173363","5,7367891956","4,4277070555","4,8610300019","3,8161508723","4,1477969611","3,2197184412","5,1621039293","8,2375143829","11,8641084649","12,4732844266","15,6067162442","15,8607745289","13,3125280769","15,580840423","18,6539704158","16,2029157515","13,3651028519","13,8411301141","14,392235734","13,6738028498","21,3621312072","19,8916075029","21,542658137","24,5817176843","21,3376403197","19,4398861615","20,097872157","27,4408824674","25,2173096887","22,9946331117","23,5515583359","21,8553762094","22,6699066498","22,3232413582","23,9079179694","23,3164288017","21,2091413903","23,7408401619"
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,7117063154","67,1418016804","84,6967168597","84,9550658412","83,9729320094","74,5813305468","42,6883154136","32,6593198704","56,1393678996","95,5016254004","81,3913889108","69,0493048741","62,3092768285","61,6522893525","65,0267607211","73,0910071457","75,393837037","64,0582474227","74,5953897693","77,8146499176","77,8146499176"
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,"24,4182406974","24,1074126581","28,2908960787","29,8978432265","25,5777144666","25,567322239","25,3003328991","23,9406207827","21,5286929436","23,3522285206","19,816260002","19,3896713615","16,551497203","14,7194674637","8,6504049727","11,3880603114","9,1526442308","13,6528581181","19,4013627704","19,443841846","16,077170418","8,3811710677","8,6594256807","12,6924225777","13,7385248666","12,8101121152","8,2470987483","7,5726713138","7,9544006991","7,2407208593","7,4644303084","8,7610888047","7,0625229773","8,740531831","11,7919923331","11,9611132736","13,3595136787","9,6390475876","12,2515738969","10,6514092936","11,5180826373","11,2132791665","11,3867248343","12,6968807489","14,17969998","15,2754133836","16,7250685274","24,2794485735","23,7459012739","23,763391563","23,6682685174"
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,0759391339","27,6433174374","26,1155898717","23,9809058817","25,8779416442","35,3888484399","47,073248907","45,6519312032","40,5912252201","41,8878457883","53,7037897537","62,4448756394","55,4606004212","55,0870200611","57,7510623018","61,2112554439","51,4783034169","46,6242031193","44,8440541617","46,9232830128","46,3750280562","50,746418935","53,7713048762"
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,1592253276","49,5033473841","55,9231992152","63,5677906002","67,5854343933","68,6311120483","72,3185128305","79,0248273106","74,7069162625","77,9368848995",
United Kingdom,"19,8952614169","19,4231000588","19,3240440726","18,7296521595","18,5120424546","18,7531405374","18,4760516243","20,6995154973","21,4833629004","22,3335920918","22,4627731296","21,1484037435","23,0943871221","27,3477107233","25,4052779053","28,0564605085","29,7579668921","28,3061047238","27,8266232588","27,1407986826","26,6818584433","26,3027357094","26,4945134714","28,329286812","28,7534760807","25,6215485585","25,3468326082","22,9470648471","23,635854811","23,9500388404","23,16190718","23,3860596708","25,3492837009","26,4384468973","28,2499120374","29,3001639961","28,6723270327","26,6080446983","26,1410547312","27,7130793381","27,2861964351","26,2612074314","25,8421637943","25,525697965","26,9597928265","29,1193760375","26,9181280048","29,8119757296","28,8302779944","30,5396472992","32,493158672"
United States,"5,1124643925","5,0028029504","5,075761831","5,3236788065","5,2062298692","5,2399045911","5,2646732462","5,3115419934","5,3341462843","5,8255269321","5,6598688348","5,7795918367","6,9597604615","8,526818763","8,5437969693","8,263777569","7,9112038141","8,2117750439","9,0465893454","10,1463414634","9,8331078033","8,7740496329","7,8987139639","7,7530509691","7,2165933856","7,2384180791","7,742237545","8,7694344021","9,2486718018","9,6004034221","10,0595207986","10,1408540675","9,9591365508","10,3055781963","11,0637196119","11,1945401298","11,5593774602","10,912939023","10,6364906999","11,0437628803","10,0421149317","9,4710203773","9,3874275202","10,0035599858","10,3873673822","11,0481054489","11,901760518","12,9879811242","11,421540764","12,791100878","13,969435606"
Uruguay,"14,2975014223","11,4361217802","12,1188381094","12,0430431958","18,3760527947","17,1659246189","14,6019255417","15,1946111836","13,4039595475","13,8826419338","10,2793509532","15,437536836","10,4178928782","14,3823399586","16,7806426984","19,5591538131","19,8966604235","18,8468455431","16,833059565","15,03297037","15,2041124379","14,3258667667","25,6888725134","26,5806208871","26,7565263897","26,2150885349","21,6486948835","22,0578881217","23,493869145","23,5321233747","20,6936682983","20,4475748164","19,126015847","19,7668103889","18,9968128122","19,6699797976","17,4578477007","16,4199105613","15,0976530701","16,6980989283","16,8046592579","20,6216724862","27,4324201221","32,112295598","30,4040198041","30,2975044","29,0904872611","30,2030239685","27,9698506036","26,8482140159","27,0927194475"
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,8355986975","35,2801737794","27,0339377296","33,7196634216","16,7755897259","27,9465555773","27,6872808667","27,0404010933","22,4965406402","18,1456578317","24,5879936122","28,0756191265","30,8114686272","37,2491720845","40,207735095","37,8542462037","37,1442578507","39,6703138702","43,5239727031","36,3790284229","31,1928632269","31,6644285144"
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,"33,1530402838","38,3741634432","42,7650060796","54,2264285845","57,6760092186","48,7343702348","34,7627665434","35,7779014751","35,5144404332","37,3971132053","47,0822996441","42,6539610297","45,6094600063","46,0007871605","45,3159894997","44,6478282424","45,9603519404","52,1382799325","42,2895240373","37,3785846438","39,1789749205","37,9562433298","39,5964864123","43,6481404095","44,0783002164","45,0309547084","41,881594978","40,7015822867","44,3854821812","41,561603332","48,6866676862",
Venezuela,"28,6728047181","29,1702247486","28,8726488683","26,8228107288","25,8152168305","24,3377117989","24,2940196603","22,3696687285","21,3309022434","20,9205015291","22,4060148251","20,4419889503","25,0867046836","38,6645955684","28,8281811398","25,8084571721","23,2161869831","20,4071735246","25,9603719183","28,7777027192","26,843834305","22,1634339778","19,5128940526","26,8110727189","24,1181487973","19,817244154","21,438274812","20,5686801043","34,1234314181","39,4500234945","31,3532677617","26,3530068985","26,9583452438","30,8633304331","27,1071468394","36,5141487703","29,259010607","20,920486481","22,9117089002","29,7442196598","22,7356315652","30,4335705492","33,8533894084","36,1983535672","39,6586527436","36,5186216079","31,1305388597","30,8216690057","18,0715188696","28,530406988","29,9430146097"
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,6231080317","15,4995181332","16,6691427038","15,8390967406","17,6812108851","16,3972183121","15,9859274035","16,0827698898","15,5961244119","14,0280982674","14,6109113455","14,0494945627",,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,"6,6225390494","6,0014284565","3,9452982145","23,8493582982","36,0386153908","30,9150392484","34,745596326","28,7227818661","34,0131275269","32,8128561801","40,8684877939","43,1027056198","44,8483034665","49,9662477347","55,0325381801","54,6122431117","56,8000554634","59,2940177073","65,7362503093","69,3590765612","73,6050524189","76,895118102","77,9224504693","68,3004600848","77,5306752338","87,0158200684"
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,2059896727","11,0235505189","10,4375683845","12,5768504438","12,5079491492","22,3746362773","38,5060950534","36,2842007166","26,5435324068","34,8393536829","41,4089049403","35,8969256356","37,0011733413","36,4390068696","36,3824952503","40,8968195406","41,2586730709","35,9035113182","37,839362685","28,2207516408","30,4815114613",
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,"52,3594583504","52,5556471558","54,6611011727","60,449285228","49,2480211082","51,4915254237","49,6240601504","48,438749533","62,6962232558","53,6432665857","42,3913975413","43,8205573067","49,1404833276","50,3923984771","36,5962321792","43,2880854084","39,3425308095","33,5584465838","45,4179812759","41,389213573","28,6337287449","27,6778017253","32,9187803056","35,071996174","36,43999318","42,1539451987","39,4750499487","33,3069462501","26,8055057711","35,8797824336","34,6125779118","36,3913363199","33,5695434446","36,0049403754","36,0167930572","31,3258134323","30,1213985536","26,9032326439","27,2196000145","26,4759940044","28,1377061561","28,5044081727","28,3357909212","37,7775547281","34,5662055408","38,490894283","40,9126381661","35,374579591","35,0130596605","46,7761745419","46,0382930629"
Zimbabwe,,,,,,,,,,,,,,,"22,7649781633","21,9602487434","21,3950276037","22,0216942318","21,8000032","23,3673922814","19,4252263652","16,9255801933","16,4429243834","20,5611384621","22,2057751155","24,0494104193","24,0157107795","23,740346073","23,3422825873","22,8668460771","23,883469052","27,2272626256","30,7196164082","34,5999760917","38,2363437534","36,1300731881","37,5952723089","43,3930859737","37,4085802479","38,1597545136","34,9589125224","31,8347991003","32,3970600021","34,4697995351","33,5486482233","35,956169209","37,7853740123","41,4668488212","29,2775928379","47,63734034","49,4108615388"
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,2626593821","62,238973663","64,5394832601","64,8876811439"
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
